date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2021-10-31,HPQ,USD,0000047217,2021-12-09,2021-12-09 16:46:38,2021,FY,63487000000.0,50070000000.0,13417000000.0,0.211334603934664,1907000000.0,0.0,0.0,0.0,7648000000.0,58185000000.0,0.0,785000000.0,6087000000.0,0.0958778962622269,5302000000.0,0.0835131601745239,0.0,0.0,0.0,0.0,0.0,0.0,5.38,5.33,1185000000.0,1199000000.0,https://www.sec.gov/Archives/edgar/data/47217/000004721721000060/0000047217-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721721000060/hpq-20211031.htm
2021-10-31,HPQ.SW,USD,,2021-10-31,2021-10-31,2021,FY,63487000000.0,50070000000.0,13417000000.0,0.211334603934664,1907000000.0,0.0,0.0,154000000.0,7802000000.0,57872000000.0,0.0,785000000.0,8296000000.0,0.130672421125585,5615000000.0,0.118307685037882,-1896000000.0,7511000000.0,0.118307685037882,1008000000.0,6503000000.0,0.102430418825901,0.0,0.0,0.0,0.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
2021-10-31,RY.SW,CAD,,2021-10-31,2021-10-31,2021,FY,45646000000.0,0.0,0.0,0.0,0.0,16539000000.0,0.0,0.0,0.0,0.0,8143000000.0,2592000000.0,31354000000.0,0.686894799106165,0.0,0.0,0.0,20631000000.0,0.451978267537134,4581000000.0,16038000000.0,0.351356088156684,0.0,0.0,0.0,0.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
2021-10-31,RY,CAD,0001000275,2021-10-31,2021-10-31,2021,FY,45646000000.0,0.0,0.0,0.0,0.0,16539000000.0,0.0,0.0,0.0,0.0,8143000000.0,2592000000.0,31354000000.0,0.686894799106165,0.0,0.0,0.0,20631000000.0,0.451978267537134,4581000000.0,16038000000.0,0.351356088156684,0.0,0.0,0.0,0.0,,
2021-10-31,COO,USD,0000711404,2021-12-10,2021-12-10 16:17:53,2021,FY,2922500000.0,966700000.0,1955800000.0,0.669221556886228,92700000.0,1211200000.0,0.0,146100000.0,1450000000.0,2416700000.0,23100000.0,146100000.0,660700000.0,0.226073567151411,505800000.0,0.168177929854577,14300000.0,491500000.0,0.168177929854577,-2453200000.0,2944700000.0,1.00759623609923,60.0816326530612,60.0816326530612,49304090.0,49900000.0,https://www.sec.gov/Archives/edgar/data/711404/000071140421000038/0000711404-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/711404/000071140421000038/coo-20211031.htm
2021-10-31,SNPS,USD,0000883241,2021-12-13,2021-12-13 17:22:49,2021,FY,4204193000.0,861777000.0,3342416000.0,0.795019638727337,1504823000.0,322988000.0,712491000.0,33919000.0,2574221000.0,3435998000.0,0.0,203676000.0,1010347000.0,0.240318891164131,768195000.0,0.191597769179483,-37319000.0,805514000.0,0.191597769179483,49155000.0,757516000.0,0.180181071611127,4.95534444917614,4.82042866156386,152635000.0,156907000.0,https://www.sec.gov/Archives/edgar/data/883241/000088324121000022/0000883241-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324121000022/snps-20211031.htm
2021-10-31,HPE,USD,0001645590,2021-12-10,2021-12-10 07:41:42,2021,FY,27784000000.0,18196000000.0,9588000000.0,0.345090699683271,1979000000.0,0.0,0.0,0.0,6908000000.0,26652000000.0,0.0,2597000000.0,3729000000.0,0.134213936078318,1132000000.0,0.0407428735963144,-2455000000.0,3587000000.0,0.129103080909876,0.0,3587000000.0,0.129103080909876,2.74025974025974,2.69699248120301,1314000000.0,1338000000.0,https://www.sec.gov/Archives/edgar/data/1645590/000164559021000068/0001645590-21-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000164559021000068/hpe-20211031.htm
2021-10-31,SYP.DE,USD,,2021-10-31,2021-10-31,2021,FY,4204193000.0,861777000.0,3342416000.0,0.795019638727337,1504823000.0,322988000.0,712491000.0,33919000.0,2574221000.0,3435998000.0,0.0,203676000.0,1010347000.0,0.240318891164131,768195000.0,0.191597769179483,-37319000.0,805514000.0,0.191597769179483,49155000.0,757516000.0,0.180181071611127,4.96,4.81,152698000.0,157340000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0
2021-10-31,AMAT,USD,0000006951,2021-10-31,2021-10-31,2021,FY,23063000000.0,12149000000.0,10914000000.0,0.473225512726011,2485000000.0,620000000.0,609000000.0,0.0,3714000000.0,15863000000.0,236000000.0,394000000.0,7401000000.0,0.320903611845814,7200000000.0,0.293587130902311,429000000.0,6771000000.0,0.293587130902311,883000000.0,5888000000.0,0.255300698087846,0.0,0.0,0.0,0.0,,
2021-10-31,ABM,USD,0000771497,2021-10-31,2021-10-31,2021,FY,6228000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4539000000.0,5258000000.0,0.0,-28000000.0,535000.0,-79465000.0,-0.0127593127809891,126000000.0,0.0202312138728324,-53000000.0,179000000.0,0.0287411689145793,-53000000.0,1000000.0,0.000160565189466924,0.0149253731343284,0.0148148148148148,67500000.0,67500000.0,,
