symbol,date,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferrredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
CM,2021-10-31,CAD,0001045520,2021-10-31,2021-10-31,2021,FY,60002000000.0,18877000000.0,78879000000.0,10405000000.0,0.0,0.0,0.0,3286000000.0,4954000000.0,2031000000.0,6985000000.0,162059000000.0,0.0,0.0,0.0,837683000000.0,837683000000.0,8849000000.0,0.0,0.0,0.0,0.0,0.0,48131000000.0,0.0,38000000.0,0.0,0.0,791853000000.0,791853000000.0,14351000000.0,25793000000.0,1069000000.0,110000000.0,45648000000.0,837501000000.0,180936000000.0,48131000000.0,-11871000000.0,,
RY-PT,2021-10-31,CAD,0001000275,2021-10-31,2021-10-31,2021,FY,195103000000.0,37541000000.0,232644000000.0,22533000000.0,0.0,0.0,0.0,7424000000.0,10854000000.0,4471000000.0,15325000000.0,285378000000.0,0.0,0.0,0.0,1706323000000.0,1706323000000.0,10506000000.0,98868000000.0,3403000000.0,0.0,0.0,0.0,206180000000.0,3518000000.0,74000000.0,0.0,0.0,1607561000000.0,1607561000000.0,17728000000.0,71795000000.0,0.0,2421000000.0,98667000000.0,1706228000000.0,322919000000.0,305048000000.0,109945000000.0,,
REVG,2021-10-31,USD,0001687221,2021-12-15,2021-12-15,2021,Q4,13000000.0,0.0,0.0,213000000.0,481000000.0,67000000.0,761000000.0,176000000.0,157000000.0,126000000.0,283000000.0,0.0,0.0,18000000.0,477000000.0,0.0,1238000000.0,116000000.0,0.0,0.0,0.0,321000000.0,437000000.0,215000000.0,0.0,21000000.0,46000000.0,282000000.0,0.0,719000000.0,0.0,16000000.0,0.0,502000000.0,518000000.0,1237000000.0,0.0,215000000.0,202000000.0,https://www.sec.gov/Archives/edgar/data/1687221/000156459021060365/0001564590-21-060365-index.htm,https://www.sec.gov/Archives/edgar/data/1687221/000156459021060365/revg-10k_20211031.htm
HEI,2021-10-31,USD,0000046619,2021-10-31,,2021,Q4,108298000.0,0.0,0.0,244919000.0,478050000.0,214416000.0,937385000.0,193638000.0,1450395000.0,582307000.0,2032702000.0,0.0,0.0,334682000.0,2561022000.0,0.0,3498407000.0,0.0,0.0,0.0,0.0,294880000.0,294880000.0,234983000.0,0.0,40761000.0,378257000.0,654001000.0,0.0,948881000.0,0.0,0.0,0.0,0.0,2549526000.0,3498407000.0,0.0,234983000.0,126685000.0,,
A,2021-10-31,USD,0001090872,2021-10-31,2021-10-31,2021,FY,1484000000.0,91000000.0,1575000000.0,1172000000.0,830000000.0,222000000.0,3799000000.0,945000000.0,0.0,0.0,4956000000.0,185000000.0,0.0,820000000.0,6906000000.0,0.0,10705000000.0,446000000.0,0.0,0.0,441000000.0,821000000.0,1708000000.0,2729000000.0,0.0,0.0,879000000.0,3608000000.0,0.0,5316000000.0,3000000.0,348000000.0,-282000000.0,5320000000.0,5389000000.0,10705000000.0,276000000.0,2729000000.0,1245000000.0,,
RY.TO,2021-10-31,CAD,,2021-10-31,2021-10-31,2021,FY,195103000000.0,37541000000.0,232644000000.0,22533000000.0,0.0,0.0,0.0,7424000000.0,10854000000.0,4471000000.0,15325000000.0,285378000000.0,0.0,0.0,0.0,1706323000000.0,1706323000000.0,10506000000.0,98868000000.0,3403000000.0,0.0,0.0,0.0,206180000000.0,3518000000.0,74000000.0,0.0,0.0,1607561000000.0,1607561000000.0,17728000000.0,71795000000.0,0.0,2421000000.0,98667000000.0,1706228000000.0,322919000000.0,305048000000.0,109945000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Royal Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Royal Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
CM.TO,2021-10-31,CAD,,2021-10-31,2021-10-31,2021,FY,60002000000.0,18877000000.0,78879000000.0,10405000000.0,0.0,0.0,0.0,3286000000.0,4954000000.0,2031000000.0,6985000000.0,162059000000.0,0.0,0.0,0.0,837683000000.0,837683000000.0,8849000000.0,0.0,0.0,0.0,0.0,0.0,48131000000.0,0.0,38000000.0,0.0,0.0,791853000000.0,791853000000.0,14351000000.0,25793000000.0,1069000000.0,110000000.0,45648000000.0,837501000000.0,180936000000.0,48131000000.0,-11871000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Canadian Imperial Bank of Commerce&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Canadian Imperial Bank of Commerce&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
HPE,2021-10-31,USD,0001645590,2021-12-10,2021-12-10 07:41:42,2021,Q4,3996000000.0,0.0,0.0,3979000000.0,4511000000.0,10388000000.0,18878000000.0,5613000000.0,18306000000.0,1022000000.0,19328000000.0,2210000000.0,0.0,11670000000.0,38821000000.0,0.0,57699000000.0,7004000000.0,3552000000.0,0.0,3408000000.0,6723000000.0,20687000000.0,9896000000.0,0.0,0.0,7145000000.0,17041000000.0,0.0,37728000000.0,13000000.0,-5597000000.0,-2915000000.0,28470000000.0,19971000000.0,57699000000.0,0.0,13448000000.0,9452000000.0,https://www.sec.gov/Archives/edgar/data/1645590/000164559021000068/0001645590-21-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000164559021000068/hpe-20211031.htm
TTC,2021-10-31,USD,0000737758,2021-10-31,2021-10-31,,Q4,405612000.0,0.0,0.0,310279000.0,738170000.0,440736000.0,1489185000.0,554721000.0,421680000.0,0.0,421680000.0,0.0,5800000.0,464754000.0,1446955000.0,0.0,2936140000.0,503116000.0,0.0,0.0,0.0,433903000.0,937019000.0,746994000.0,0.0,50397000.0,50598000.0,847989000.0,0.0,1785008000.0,105206000.0,1071922000.0,-25996000.0,0.0,1151132000.0,2936140000.0,0.0,691242000.0,285630000.0,,
DCO.DE,2021-10-31,USD,,2021-10-31,2021-10-31,2021,FY,8017000000.0,728000000.0,8745000000.0,44431000000.0,6781000000.0,0.0,59957000000.0,12808000000.0,3291000000.0,1275000000.0,4566000000.0,175000000.0,1037000000.0,5571000000.0,24157000000.0,0.0,84114000000.0,12205000000.0,15524000000.0,0.0,0.0,143000000.0,27872000000.0,32888000000.0,0.0,576000000.0,4344000000.0,37808000000.0,0.0,65680000000.0,0.0,0.0,0.0,0.0,18431000000.0,84111000000.0,903000000.0,48412000000.0,40395000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0
CWB.TO,2021-10-31,CAD,,2021-10-31,2021-10-31,2021,FY,128459000.0,0.0,0.0,189188000.0,0.0,0.0,0.0,130698000.0,138701000.0,227845000.0,366546000.0,3581676000.0,0.0,0.0,0.0,37323176000.0,37323176000.0,556140000.0,0.0,3132000.0,0.0,0.0,0.0,3101578000.0,4954000.0,8598000.0,0.0,0.0,33789291000.0,33789291000.0,809435000.0,2120795000.0,2639000.0,351016000.0,3533885000.0,37323176000.0,0.0,3101578000.0,2973119000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Canadian Western Bank&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Canadian Western Bank&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
RY.SW,2021-10-31,CAD,,2021-10-31,2021-10-31,2021,FY,195103000000.0,37541000000.0,232644000000.0,22533000000.0,0.0,0.0,0.0,7424000000.0,10854000000.0,4471000000.0,15325000000.0,285378000000.0,0.0,0.0,0.0,1706323000000.0,1706323000000.0,10506000000.0,98868000000.0,3403000000.0,0.0,0.0,0.0,206180000000.0,3518000000.0,74000000.0,0.0,0.0,1607561000000.0,1607561000000.0,17728000000.0,71795000000.0,0.0,2421000000.0,98667000000.0,1706228000000.0,322919000000.0,305048000000.0,109945000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html
DE,2021-10-31,USD,0000315189,2021-10-31,2021-10-31,2021,FY,8017000000.0,728000000.0,8745000000.0,44431000000.0,6781000000.0,0.0,59957000000.0,12808000000.0,3291000000.0,1275000000.0,4566000000.0,175000000.0,1037000000.0,5571000000.0,24157000000.0,0.0,84114000000.0,12205000000.0,15524000000.0,0.0,0.0,143000000.0,27872000000.0,32888000000.0,0.0,576000000.0,4344000000.0,37808000000.0,0.0,65680000000.0,0.0,0.0,0.0,0.0,18431000000.0,84111000000.0,903000000.0,48412000000.0,40395000000.0,,
RY,2021-10-31,CAD,0001000275,2021-10-31,2021-10-31,2021,FY,195103000000.0,37541000000.0,232644000000.0,22533000000.0,0.0,0.0,0.0,7424000000.0,10854000000.0,4471000000.0,15325000000.0,285378000000.0,0.0,0.0,0.0,1706323000000.0,1706323000000.0,10506000000.0,98868000000.0,3403000000.0,0.0,0.0,0.0,206180000000.0,3518000000.0,74000000.0,0.0,0.0,1607561000000.0,1607561000000.0,17728000000.0,71795000000.0,0.0,2421000000.0,98667000000.0,1706228000000.0,322919000000.0,305048000000.0,109945000000.0,,
TD,2021-10-31,CAD,0000947263,2021-10-31,2021-10-31,2021,FY,165893000000.0,43605000000.0,209498000000.0,45559000000.0,0.0,0.0,0.0,9181000000.0,16232000000.0,2123000000.0,18355000000.0,504317000000.0,0.0,0.0,0.0,1728672000000.0,1728672000000.0,37206000000.0,0.0,82000000.0,0.0,0.0,0.0,45470000000.0,0.0,244000000.0,0.0,0.0,1628854000000.0,1628854000000.0,23066000000.0,63944000000.0,7097000000.0,11000000.0,99818000000.0,1728672000000.0,547922000000.0,45470000000.0,-120423000000.0,,
BMO.TO,2021-10-31,CAD,,2021-10-31,2021-10-31,2021,FY,104744000000.0,20408000000.0,125152000000.0,6695000000.0,0.0,0.0,0.0,4869000000.0,5378000000.0,2266000000.0,7644000000.0,232689000000.0,0.0,0.0,0.0,988175000000.0,988175000000.0,13817000000.0,86289000000.0,221000000.0,0.0,0.0,0.0,103519000000.0,0.0,192000000.0,0.0,0.0,930652000000.0,930652000000.0,13599000000.0,35497000000.0,2556000000.0,2221000000.0,57523000000.0,988175000000.0,253097000000.0,189808000000.0,85064000000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Bank of Montreal&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Bank of Montreal&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
CIE1.DE,2021-10-31,USD,,2021-10-31,2021-10-31,2021,FY,1422546000.0,181483000.0,1604029000.0,884958000.0,374265000.0,325654000.0,3188906000.0,329253000.0,311645000.0,65314000.0,376959000.0,70038000.0,800180000.0,99891000.0,1676321000.0,0.0,4865227000.0,356176000.0,25562000.0,0.0,118007000.0,409285000.0,909030000.0,711919000.0,57457000.0,0.0,166803000.0,936179000.0,0.0,1845209000.0,1549000.0,-3785132000.0,439000.0,6803162000.0,3020018000.0,4865227000.0,251521000.0,737481000.0,-685065000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0
SNPS,2021-10-31,USD,0000883241,2021-12-13,2021-12-13 17:22:49,2021,Q4,1432840000.0,147949000.0,1580789000.0,568501000.0,229023000.0,430028000.0,2808341000.0,965649000.0,3575785000.0,279132000.0,3854917000.0,1432840000.0,612655000.0,-922142000.0,5943919000.0,0.0,8752260000.0,0.0,239034000.0,32411000.0,1517623000.0,656827000.0,2413484000.0,999100000.0,136303000.0,0.0,-95570000.0,1039833000.0,0.0,3453317000.0,1531000.0,4549713000.0,-49604000.0,797303000.0,5298943000.0,8752260000.0,1580789000.0,1238134000.0,-194706000.0,https://www.sec.gov/Archives/edgar/data/883241/000088324121000022/0000883241-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324121000022/snps-20211031.htm
ANL.DE,2021-10-31,USD,,2021-10-31,2021-10-31,2021,FY,1977964000.0,0.0,1977964000.0,1459056000.0,1200610000.0,740687000.0,5378317000.0,1979051000.0,26918470000.0,15267170000.0,42185640000.0,127856000.0,2267269000.0,383938000.0,46943754000.0,0.0,52322071000.0,443434000.0,569239000.0,332685000.0,0.0,1757639000.0,2770312000.0,6253212000.0,0.0,3938830000.0,1367175000.0,11559217000.0,0.0,14329529000.0,87554000.0,7517316000.0,-186565000.0,30574237000.0,37992542000.0,52322071000.0,0.0,6822451000.0,4844487000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0
